CA-BG2	CA-FG2	CA-FG1	All	Remove duplicates
(CADetector)KnowQuizEth_0x8DCabb5801bDe17E5C5ede7624440FA956baAC3B	"(CADetector,HoneyBadger)QuestionIt_0x19D0321ba91ED5edeC4AFE1DA158a6b06bBA03F0"	(HoneyBadger)AddressLotteryV2_0xe6f245Bb5268B16c5d79a349ec57673e477BD015	(CADetector)KnowQuizEth_0x8DCabb5801bDe17E5C5ede7624440FA956baAC3B	(CADetector)KnowQuizEth_0x8DCabb5801bDe17E5C5ede7624440FA956baAC3B
"(CADetector,HoneyBadger)PresaleHold_0xB31820C1D84E183377030B6D3F0E1Ee5C1CfF643"	"(CADetector,HoneyBadger)PrivateBank_0x23A91059Fdc9579A9Fbd0edc5F2Ea0BFdb70Deb4"	"(CADetector,HoneyBadger)GuessTheNumber_0x0e77cb9d68B8Bf3cC41561f8edA6c71E4A4b9ef7"	"(CADetector,HoneyBadger)PresaleHold_0xB31820C1D84E183377030B6D3F0E1Ee5C1CfF643"	"(CADetector,HoneyBadger)PresaleHold_0xB31820C1D84E183377030B6D3F0E1Ee5C1CfF643"
"(CADetector,HoneyBadger)PreSaleFund_0xd022969da8A1aCe11E2974b3e7EE476c3f9F99c6"	"(CADetector,HoneyBadger)StakeholderInc_0x4FED7F5F0314bd156A8486Fc41dC8bD4737C24fb"	"(CADetector,HoneyBadger)CEOThrone 0x7E97c48497a8d650DC030744B74C81e29816F8E3"	"(CADetector,HoneyBadger)PreSaleFund_0xd022969da8A1aCe11E2974b3e7EE476c3f9F99c6"	"(CADetector,HoneyBadger)PreSaleFund_0xd022969da8A1aCe11E2974b3e7EE476c3f9F99c6"
"(CADetector,HoneyBadger)AddressLotteryV2_0x787b9A8978B21476ABb78876F24C49C0e513065E"	"(CADetector,HoneyBadger)Lottery_0x15D0e6CEdd8eCc39DAa60C63A3A5830eECa7D720"	"(CADetector,HoneyBadger)Jeopardy_0x590D1D5bA0FEb249D42c527ae21d12f2e5768A87"	"(CADetector,HoneyBadger)AddressLotteryV2_0x787b9A8978B21476ABb78876F24C49C0e513065E"	"(CADetector,HoneyBadger)AddressLotteryV2_0x787b9A8978B21476ABb78876F24C49C0e513065E"
"(CADetector,HoneyBadger)AddressLotteryV2_0x650734BFd0465b7C6CD2932ea555e721308Fd0b3"	"(CADetector,HoneyBadger)JackPot_0xFD1E3d3E641f224CE8e1117866CF3F01ed2D5D9f"	(CADetector)Vault_0x91151ABe8cea8EE574B50cC01c18CE36cbbA3195	"(CADetector,HoneyBadger)AddressLotteryV2_0x650734BFd0465b7C6CD2932ea555e721308Fd0b3"	"(CADetector,HoneyBadger)AddressLotteryV2_0x650734BFd0465b7C6CD2932ea555e721308Fd0b3"
"(CADetector,HoneyBadger)StakeholderInc_0x4FED7F5F0314bd156A8486Fc41dC8bD4737C24fb"	"(CADetector,HoneyBadger)StakeholderGame_0x0BcCcBa050c2cE6439c57bd203378B113cc3cFD6"	(CADetector)SafeDeposit_0x3e365D13828c398d1bd1694aDCe8998Fd0139bA3	"(CADetector,HoneyBadger)StakeholderInc_0x4FED7F5F0314bd156A8486Fc41dC8bD4737C24fb"	"(CADetector,HoneyBadger)StakeholderInc_0x4FED7F5F0314bd156A8486Fc41dC8bD4737C24fb"
"(CADetector,HoneyBadger)Lottery_0x15D0e6CEdd8eCc39DAa60C63A3A5830eECa7D720"	"(CADetector,HoneyBadger)StakeholderBattle_0x7704442E1005B9AB403463ED85e2Fb24761a8738"	(CADetector)SafeDeposit_0x3e365D13828c398d1bd1694aDCe8998Fd0139bA3	"(CADetector,HoneyBadger)Lottery_0x15D0e6CEdd8eCc39DAa60C63A3A5830eECa7D720"	"(CADetector,HoneyBadger)Lottery_0x15D0e6CEdd8eCc39DAa60C63A3A5830eECa7D720"
"(CADetector,HoneyBadger)JackPot_0xFD1E3d3E641f224CE8e1117866CF3F01ed2D5D9f"	"(CADetector,HoneyBadger)CompanyTest_0x11f3081CD6b2ac5A263e65E206F806bea7fA9C56"	(CADetector)Vault_0x91151ABe8cea8EE574B50cC01c18CE36cbbA3195	"(CADetector,HoneyBadger)JackPot_0xFD1E3d3E641f224CE8e1117866CF3F01ed2D5D9f"	"(CADetector,HoneyBadger)JackPot_0xFD1E3d3E641f224CE8e1117866CF3F01ed2D5D9f"
"(CADetector,HoneyBadger)StakeholderGame_0x0BcCcBa050c2cE6439c57bd203378B113cc3cFD6"	"(CADetector,HoneyBadger)Lottery_0x0BF0f154B176C5d90F24e506F10F7F583eB5334d"	"(CADetector,HoneyBadger)QuestionGame_0x96fA4b2BEBbBc9fFdb7d64ed18058De27680752c"	"(CADetector,HoneyBadger)StakeholderGame_0x0BcCcBa050c2cE6439c57bd203378B113cc3cFD6"	"(CADetector,HoneyBadger)StakeholderGame_0x0BcCcBa050c2cE6439c57bd203378B113cc3cFD6"
"(CADetector,HoneyBadger)StakeholderBattle_0x7704442E1005B9AB403463ED85e2Fb24761a8738"	"(CADetector,HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0"	"(CADetector,HoneyBadger)DivX_0xAa3a6f5bddD02A08C8651f7e285e2BEc33eA5e53"	"(CADetector,HoneyBadger)StakeholderBattle_0x7704442E1005B9AB403463ED85e2Fb24761a8738"	"(CADetector,HoneyBadger)StakeholderBattle_0x7704442E1005B9AB403463ED85e2Fb24761a8738"
"(CADetector,HoneyBadger)CompanyTest_0x11f3081CD6b2ac5A263e65E206F806bea7fA9C56"	"(CADetector,HoneyBadger)AddressLotteryV2_0x650734BFd0465b7C6CD2932ea555e721308Fd0b3"	"(CADetector,HoneyBadger)TronTronTron_0xcb71B51d9159a49050d56516737B4b497E98Bb99"	"(CADetector,HoneyBadger)CompanyTest_0x11f3081CD6b2ac5A263e65E206F806bea7fA9C56"	"(CADetector,HoneyBadger)CompanyTest_0x11f3081CD6b2ac5A263e65E206F806bea7fA9C56"
"(CADetector,HoneyBadger)Lottery_0x0BF0f154B176C5d90F24e506F10F7F583eB5334d"	"(CADetector,HoneyBadger)PrivateBank_0x23A91059Fdc9579A9Fbd0edc5F2Ea0BFdb70Deb4"	"(CADetector,HoneyBadger)MultiplicatorX2_0xE26E90598190a98C92c75204c9A4eCFe5983F8E0"	"(CADetector,HoneyBadger)Lottery_0x0BF0f154B176C5d90F24e506F10F7F583eB5334d"	"(CADetector,HoneyBadger)Lottery_0x0BF0f154B176C5d90F24e506F10F7F583eB5334d"
"(CADetector,HoneyBadger)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50"	"(CADetector,HoneyBadger)QuestionIt_0x19D0321ba91ED5edeC4AFE1DA158a6b06bBA03F0"	(CADetector)CraigHester_0x1d8cd6eAB10ab7d673fA7b4c5f93fe167953D4f9	"(CADetector,HoneyBadger)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50"	"(CADetector,HoneyBadger)AddressLottery_0xd4342DF2C7CfE5938540648582c8D222F1513C50"
"(CADetector,HoneyBadger)AddressLottery_0xf8e89D113924300b38615ceB5719709569Ebec6b"	"(CADetector,HoneyBadger)EthReceiver_0xc1d73e148590b60CE9Dd42d141F9B27bBAD07879"	(CADetector)EthVault_0xe78a4Ed7A2d50C7206fEa45dd7418B71a6dE943B	"(CADetector,HoneyBadger)AddressLottery_0xf8e89D113924300b38615ceB5719709569Ebec6b"	"(CADetector,HoneyBadger)AddressLottery_0xf8e89D113924300b38615ceB5719709569Ebec6b"
